stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\lcf66\Documents\GitHub\game\I2P1_Final_project-master\Code\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.04932] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04934] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04935] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04937] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04938] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04939] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04941] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04942] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04944] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04945] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04947] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04948] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04949] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04951] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04952] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04954] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04955] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04957] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04958] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04959] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04961] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04962] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04964] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04965] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04967] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04968] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04969] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04971] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04972] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04974] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04975] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04977] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04978] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04979] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04981] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04982] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04984] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04985] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04986] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04988] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04989] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04991] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04992] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.04994] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04995] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04996] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04998] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04999] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05001] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05002] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05004] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05005] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05007] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05008] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05009] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05011] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05012] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05014] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05015] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05017] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05018] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05019] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05021] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05022] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05024] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05025] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05027] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05028] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05029] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05031] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05032] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05034] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05035] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05037] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05038] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05039] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05041] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05042] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05044] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05045] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.05050] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.05084] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.05093] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.14007] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.18981] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.18987] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.18992] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.19004] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.19010] Returning d3d_display: 0000000000f4b3a0
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.19013] al_display=0000000000f4b3a0
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.19016] al_display->vt=0000000000f4b230
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.19057] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:780  load_library_at_path             [   0.19061] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:783  load_library_at_path             [   0.19121] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.19125] Module "d3dx9_43.dll" loaded.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.19135] opening assets/image/menu.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.19150] opening assets/image/menu.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19167] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19169] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19170] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19172] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19173] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19175] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19176] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19177] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.19178] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.19180] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.19181] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.19183] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.19184] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.19204] added dtor for bitmap 0000000002737e00, func 00007ffc0bc71bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.22025] opening assets/font/pirulen.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   0.22066] Font assets/font/pirulen.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   0.22069]     ascent=12.0, descent=-3.0, height=14.0
dtor     D               dtor.c:196  _al_register_destructor          [   0.22071] added dtor for ttf_font 0000000002716530, func 00007ffc0bd94c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.22073] opening assets/sound/menu.mp3 rb
dtor     D               dtor.c:196  _al_register_destructor          [   1.07402] added dtor for sample 0000000002715f00, func 00007ffc0bda1a1d
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   1.07412] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   1.07414] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   1.07416] added dtor for voice 0000000002738ae0, func 00007ffc0bda5024
dtor     D               dtor.c:196  _al_register_destructor          [   1.07418] added dtor for mixer 0000000002738c20, func 00007ffc0bda04dc
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   1.07420] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   1.07421] CreateSoundBuffer
audio-dsound E           dsound.cpp:498  _dsound_start_voice              [   1.50239] CreateSoundBuffer failed: 
audio    E         kcm_sample.c:111  create_default_mixer             [   1.50245] al_attach_mixer_to_voice failed
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.50247] removed dtor for mixer 0000000002738c20
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.50249] removed dtor for voice 0000000002738ae0
audio-dsound D           dsound.cpp:380  _dsound_deallocate_voice         [   1.50250] Deallocating voice
audio-dsound D           dsound.cpp:385  _dsound_deallocate_voice         [   1.50252] Deallocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   1.50254] added dtor for sample_instance 0000000002738ae0, func 00007ffc0bd9929b
audio-dsound D           dsound.cpp:311  _dsound_allocate_voice           [   1.50257] Allocating voice
audio-dsound D           dsound.cpp:370  _dsound_allocate_voice           [   1.50258] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   1.50260] added dtor for voice 0000000002738c50, func 00007ffc0bda5024
dtor     D               dtor.c:196  _al_register_destructor          [   1.50261] added dtor for mixer 00000000027394f0, func 00007ffc0bda04dc
audio-dsound D           dsound.cpp:466  _dsound_start_voice              [   1.50263] Starting voice
audio-dsound D           dsound.cpp:494  _dsound_start_voice              [   1.50264] CreateSoundBuffer
audio-dsound D           dsound.cpp:502  _dsound_start_voice              [   1.53356] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:508  _dsound_start_voice              [   1.53365] Starting _dsound_update thread
audio-dsound I           dsound.cpp:518  _dsound_start_voice              [   1.53372] Voice started
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.53375] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.53377]  0.707107 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.53379]  0.000000 0.707107
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.53381] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.53383]  0.070711 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.53385]  0.000000 0.070711
dtor     D               dtor.c:196  _al_register_destructor          [   1.53387] added dtor for queue 0000000002739650, func 00007ffc0bc9c5dc
dtor     D               dtor.c:196  _al_register_destructor          [   1.53848] added dtor for timer 0000000002745740, func 00007ffc0bcafb3b
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.53861] opening assets/image/icon.jpg rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.53889] opening assets/image/icon.jpg rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.53923] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.53935] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.53939] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.53941] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.53943] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.53944] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.53945] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.53947] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.53948] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.53949] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.53951] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.53952] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.53954] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.54006] added dtor for bitmap 0000000002762690, func 00007ffc0bc71bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.54428] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.54434] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.54436] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.54438] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.54440] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.54442] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.54444] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.54446] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.54448] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.54450] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.54452] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.54454] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.54456] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.54475] added dtor for bitmap 0000000017edf010, func 00007ffc0bc71bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.55036] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.55043] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.55699] removed dtor for bitmap 0000000017edf010
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.55866] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.55875] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.55878] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.55880] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.55882] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.55884] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.55885] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.55887] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.55889] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.55891] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.55893] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.55895] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.55897] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.55923] added dtor for bitmap 0000000017edf010, func 00007ffc0bc71bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.57592] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.57599] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.58388] removed dtor for bitmap 0000000017edf010
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.59003] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.59015] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.59350] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.59357] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.93895] removed dtor for bitmap 0000000002737e00
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.93998] removed dtor for ttf_font 0000000002716530
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.94012] removed dtor for sample 0000000002715f00
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.94178] removed dtor for sample_instance 0000000002738ae0
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.94183] opening assets/image/transparent.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.94204] opening assets/image/transparent.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94219] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94222] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94223] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94225] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94226] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94227] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94229] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94230] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94232] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.94233] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.94234] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.94236] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.94237] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.94262] added dtor for bitmap 0000000002737e00, func 00007ffc0bc71bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.94297] opening assets/image/camp.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.94313] opening assets/image/camp.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94321] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94323] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94324] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94326] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94327] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94329] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94330] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94332] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94333] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.94334] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.94336] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.94337] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.94339] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.94352] added dtor for bitmap 0000000002737fb0, func 00007ffc0bc71bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.94402] opening assets/image/monster_Move.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.94419] opening assets/image/monster_Move.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94429] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94431] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94432] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94434] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94435] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94436] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94437] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94439] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94440] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.94442] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.94444] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.94446] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.94447] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.94461] added dtor for bitmap 0000000002738160, func 00007ffc0bc71bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.94513] opening assets/image/tower.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.94533] opening assets/image/tower.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94545] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94548] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94550] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94552] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94554] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94556] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94558] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94560] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94562] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.94564] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.94566] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.94568] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.94570] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.94588] added dtor for bitmap 0000000017edf560, func 00007ffc0bc71bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.94631] opening assets/image/projectile.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.94655] opening assets/image/projectile.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94667] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.94670] Fake format
